difficulty,label,item1,item2,item3,item4
0,Built at the plant on Fremont Boulevard,Nova,Corolla,Tacoma,Model 3
0,Cities that border Fremont,Newark,Union City,Milpitas,San Jose
0,Fremont high schools,American,Washington,Kennedy,Mission San Jose
0,Bay Area bridges,Dumbarton,Bay,San Mateo,Richmond
0,Trees you actually see here,Eucalyptus,Redwood,Oak,Sycamore
0,Bay Area teams,Warriors,Giants,Sharks,Earthquakes
0,Big roads through town,Mission,Fremont,Mowry,Stevenson
0,Birds on the bay side,Egret,Heron,Avocet,Pelican
0,What the weather does here,Fog,Wind,Drizzle,Glare
0,Counties on the bay,Alameda,Santa Clara,San Mateo,Marin
0,"BART, going north from Fremont",Union City,South Hayward,Hayward,Bay Fair
0,Ways to cross the bay,Bridge,Ferry,Tunnel,Swim
0,Fremont park staples,Playground,Duck pond,Ball field,Picnic table
0,Silent film comedians,Chaplin,Keaton,Lloyd,Arbuckle
0,On a hiking checklist,Water,Sunscreen,Boots,Hat
0,Bay Area airports,Oakland,San Jose,San Francisco,Hayward
0,Route numbers that touch Fremont,880,680,84,262
0,Kinds of California weather year,Drought,Flood,Fire,Bloom
0,Seen on Niles Boulevard,Antiques,Bakery,Bookstore,Marquee
0,Fremont grocery runs,Farmers market,99 Ranch,Trader Joe’s,Safeway
0,Sounds of a freight train,Horn,Rumble,Clang,Squeal
0,What a commuter carries,Clipper card,Badge,Thermos,Headphones
0,Farm animals at Ardenwood,Sheep,Goat,Chicken,Draft horse
0,Things a mission was built from,Adobe,Tile,Timber,Lime
0,Bay Area mountains,Diablo,Hamilton,Tamalpais,Umunhum
1,"East Bay Regional Parks, in town",Coyote Hills,Quarry Lakes,Ardenwood,Alameda Creek
1,On the ridge above town,Mission Peak,Monument Peak,Mount Allison,Ohlone Wilderness
1,Also made at NUMMI,Prizm,Vibe,Voltz,Hilux
1,Fremont’s historic parks,Shinn,Vallejo Mill,Sabercat,Ardenwood
1,"Rail stops, past and present",Niles,Centerville,Irvington,Decoto
1,Missions in the Bay Area,San José,Santa Clara,Dolores,San Rafael
1,Words before “Canyon”,Niles,Grand,Bryce,Antelope
1,Words before “Hills”,Coyote,Beverly,Cherry,Sand
1,Alameda County cities you forget,Albany,Piedmont,Emeryville,Dublin
1,Chaplin pictures shot in Niles,The Tramp,The Champion,In the Park,A Jitney Elopement
1,What a salt pond turns,Pink,Orange,Rust,White
1,Creeks in the East Bay,Alameda,Dry,Walnut,Sausal
1,Marsh vocabulary,Slough,Levee,Mudflat,Tule
1,Ohlone College has one,Planetarium,Amphitheater,Newark campus,Nursing school
1,Kinds of railroad car,Boxcar,Gondola,Hopper,Caboose
1,Bay Area transit systems,BART,AC Transit,VTA,Caltrain
1,What Fremont was before 1956,Farmland,Orchards,Nurseries,Townships
1,Grown in the Alameda County of 1900,Apricots,Walnuts,Grapes,Hay
1,The Dumbarton has had one,Drawbridge,Toll plaza,Rail crossing,Bike lane
1,Words before “Springs”,Warm,Palm,Colorado,Hot
1,Words before “Creek”,Alameda,Battle,Walnut,Cripple
1,Found in a shellmound,Oyster,Mussel,Abalone,Charcoal
1,A Victorian farmhouse has one,Cupola,Parlor,Veranda,Gable
1,Places named for John C. Frémont,Fremont,Fremont Peak,Fremont County,Fremont Street
1,What the plant needed by the trainload,Steel,Glass,Paint,Rubber
2,Townships that became Fremont in 1956,Centerville,Niles,Warm Springs,Irvington
2,Fremont districts that are also streets,Niles,Peralta,Decoto,Grimmer
2,Named for a Californio family,Peralta,Vallejo,Alviso,Castro
2,BART stations that opened after 2010,Warm Springs,Milpitas,Berryessa,Antioch
2,Lakes you can walk around here,Elizabeth,Quarry,Shinn,Horseshoe
2,Words that follow “Mission”,Peak,Boulevard,Statement,Control
2,Words that follow “Central”,Park,Avenue,Valley,Time
2,Silent-era studio towns,Niles,Fort Lee,Astoria,Culver City
2,A mission bell needs one,Clapper,Yoke,Rope,Crown
2,Names on a bay salt works,Leslie,Oliver,Cargill,Arden
2,What Ardenwood grew for market,Hay,Beets,Grain,Walnuts
2,Kinds of adobe failure,Slump,Crack,Wash,Quake
2,Faults under the East Bay,Hayward,Calaveras,Mission,Silver Creek
2,Named for the people who were here first,Ohlone,Tuibun,Ohlone College,Ohlone Wilderness
2,Words before “Mill”,Vallejo,Saw,Wind,Tread
2,A quarry leaves behind,Pit,Tailings,Gravel,Groundwater
2,Ways to say “gone under water”,Flooded,Submerged,Drowned,Sunk
2,Things a levee holds back,Tide,Creek,Salt,Storm
2,What a new city has to pick,A name,A seal,A seat,A charter
2,What replaced the orchards,Tract homes,Cul-de-sacs,Strip malls,The plant
2,A steam locomotive carries,Tender,Boiler,Cowcatcher,Whistle
2,Roads named for a mission,Mission,Paseo Padre,Palm,Olive
2,The railroad reached the bay here,Niles,Oakland,Alameda,Decoto
2,Fremont’s bay-side neighbours,Salt ponds,Sloughs,Levees,Runways
2,What a shellmound became,A parking lot,A quarry,A park,A dispute
3,Hiding a bird,Sheraton,Crowded,Ternary,Gullible
3,Hiding a tree,Oakland,Palmdale,Elmhurst,Ashby
3,Hiding a body of water,Baywatch,Seabed,Lakeside,Poncho
3,Precede “Ford”,Stan,Craw,Ox,Hart
3,Letters you do not pronounce,Salmon,Island,Debris,Column
3,A tree and a Fremont street,Olive,Palm,Walnut,Cedar
3,A park and the person it is named for,Shinn,Vallejo,Patterson,Edwards
3,"A lake somewhere, and a queen",Elizabeth,Victoria,Anne,Mary
3,A Chevrolet and something in the sky,Nova,Vega,Astro,Celebrity
3,A mission and the city named after it,San José,San Rafael,Santa Clara,San Francisco
3,A fault and a place on the map,San Andreas,Hayward,Greenville,Concord
3,All mean “a tree-lined walk”,Alameda,Promenade,Esplanade,Mall
3,Newcomers say these wrong,Paseo Padre,Alviso,Decoto,Vallejo
3,Can follow “Fremont”,Boulevard,Hub,Peak,Bank
3,Kinds of mission,Religious,Military,Corporate,Space
3,A Fremont school and a president,Washington,Kennedy,Lincoln,Hoover
3,A California county and a bay,Alameda,Marin,Sonoma,Monterey
3,Words for the edge of the bay,Shore,Strand,Bank,Margin
3,"A quarry, then a lake, now a park",Horseshoe,Rainbow,Willow,Lago Los Osos
3,An orchard fruit and a paint color,Apricot,Cherry,Plum,Peach
3,Things a “tramp” can be,A vagrant,A cargo ship,A long walk,A Chaplin role
3,Both a saint and a bay-area city,Clara,Rafael,Mateo,Bruno
3,Anagrams of one another,Slate,Least,Steal,Tales
3,Double letters in the middle,Mission,Ballot,Tunnel,Current
3,What goes into an adobe brick,Clay,Sand,Straw,Water
