id,name,lat,lng,district,motifs,fame
mission-san-jose,Mission San José,37.5344,-121.9199,Mission San José,ridge | mission | olives | road,1
ohlone-college,Ohlone College,37.533,-121.917,Mission San José,ridge | civic | dome | oaks,1
msj-high,Mission San Jose High School,37.529,-121.921,Mission San José,school | flagpole | field,1
palmdale-estates,Palmdale Estates,37.535,-121.926,Mission San José,palms | victorian | lawn,2
mission-peak,Mission Peak,37.5124,-121.8802,Mission San José,peak | grass | post,1
mission-peak-trailhead,The Stanford Avenue Trailhead,37.51,-121.906,Mission San José,peak | gate | trail,3
monument-peak,Monument Peak,37.457,-121.868,The hills,peak | towers | grass,2
olive-hyde,The Olive Hyde Art Gallery,37.5352,-121.9256,Mission San José,victorian | olives | lawn,2
weibel,The old Weibel winery grounds,37.518,-121.906,Mission San José,ridge | vines | barn,3
msj-cemetery,The Mission San José Cemetery,37.536,-121.921,Mission San José,ridge | stones | olives,3
chadbourne,Chadbourne Elementary,37.525,-121.928,Mission San José,school | field | oaks,2
gomes-park,Gomes Park,37.523,-121.918,Mission San José,field | oaks | playground,2
tesla-factory,The Fremont Assembly Plant,37.4936,-121.945,Warm Springs,factory | stacks | lot,1
warm-springs-bart,Warm Springs BART,37.5022,-121.9394,Warm Springs,guideway | train | lot,1
warm-springs-district,The Warm Springs district,37.49,-121.935,Warm Springs,ridge | warehouse | road,1
warm-springs-center,The Warm Springs Community Center,37.487,-121.933,Warm Springs,civic | lawn | oaks,3
higuera,The Higuera adobe site,37.479,-121.918,Warm Springs,ridge | adobe | oaks,3
kato-road,Kato Road,37.483,-121.928,Warm Springs,warehouse | road | poles,3
agua-caliente,The Agua Caliente springs,37.488,-121.924,Warm Springs,ridge | pond | tules,3
irvington-high,Irvington High School,37.5182,-121.9629,Irvington,school | flagpole | field,1
kennedy-high,Kennedy High School,37.5309,-121.9718,Irvington,school | field | oaks,1
sabercat,Sabercat Historical Park,37.523,-121.943,Irvington,ridge | creek | trail,2
five-corners,Five Corners,37.517,-121.964,Irvington,shops | road | poles,2
irvington-plaza,Irvington Plaza,37.516,-121.966,Irvington,shops | lot | poles,2
irvington-district,The Irvington district,37.52,-121.96,Irvington,shops | road | oaks,1
washington-hospital,Washington Hospital,37.5455,-121.9855,Centerville,civic | lot | flagpole,2
tule-ponds,Tule Ponds at Tyson Lagoon,37.5525,-121.972,Centerville,pond | tules | boardwalk,2
centerville-depot,Centerville Depot,37.5586,-121.9989,Centerville,depot | tracks | poles,1
washington-high,Washington High School,37.5477,-121.9855,Centerville,school | flagpole | oaks,1
