id,text,source
five-towns,"Fremont was stitched together in 1956 out of five separate towns: Centerville, Irvington, Mission San José, Niles and Warm Springs.",City of Fremont — History
named-after,"The city is named for John C. Frémont, who never lived in it.",Wikipedia — Fremont California
mission-1797,"Mission San José was founded in 1797, the fourteenth of California's twenty-one missions.",Wikipedia — Mission San José California
chaplin-tramp,"Charlie Chaplin filmed The Tramp in Niles in 1915. The character that made him famous was made here.",Niles Essanay Silent Film Museum
essanay-count,"Essanay Studios shot roughly 250 films in Niles between 1912 and 1916 — westerns, comedies and five Chaplins.",Museum of Local History — Movies in Niles
broncho-billy,"Broncho Billy Anderson brought 52 people to Niles in 1912, having picked the town for its weather and its canyon.",Essanay Film Studio historical marker
mission-peeker,"The pole at the top of Mission Peak is known as the Mission Peeker. Lining up to be photographed beside it is a local rite.",Wikipedia — Mission Peak
peak-on-logo,The peak you can see from most of Fremont is on the city's own logo.,Wikipedia — Mission Peak
nummi,"The car plant on the west side was NUMMI before it was Tesla — a joint venture between General Motors and Toyota that ran from 1984 to 2010.",Wikipedia — NUMMI
gm-1962,"Fremont has been building cars since 1962, when General Motors opened an assembly plant on what had been farmland.",Wikipedia — NUMMI
niles-canyon-rail,The first transcontinental railroad ran west through Niles Canyon. A heritage line still runs the same track.,Wikipedia — Niles Canyon Railway
hayward-fault,"The Hayward Fault runs along Fremont's eastern edge, and creeps slowly enough that you can find curbs it has bent.",USGS — Hayward Fault
ohlone,"The Ohlone lived here for thousands of years before the mission was built. Ohlone College is named for them.",Wikipedia — Ohlone
little-kabul,"Fremont has one of the largest Afghan communities in the United States, concentrated along a stretch of Fremont Boulevard.",Wikipedia — Fremont California
dumbarton-first,"The Dumbarton Bridge, opened in 1927, was the first highway bridge built across San Francisco Bay.",Wikipedia — Dumbarton Bridge
ardenwood,Ardenwood is a working farm the city runs as a park — horses in harness and a Victorian house in the middle of it.,City of Fremont — Ardenwood Historic Farm
big-city,"Fremont is one of the largest cities in the Bay Area by land area, which is what happens when you incorporate five towns at once.",Wikipedia — Fremont California
mission-rebuilt,"The Mission San José church you can visit is a reconstruction. The 1797 adobe was brought down by an earthquake in 1868 and rebuilt in the 1980s.",Wikipedia — Mission San José California
quake-1868,"Before 1906, the earthquake Californians meant when they said 'the big one' was the 1868 Hayward quake — and its fault runs through Fremont.",USGS — 1868 Hayward earthquake
niles-flea,"Niles holds an antique flea market that takes over the whole of the boulevard, and has done for decades.",Niles Main Street Association
shinn-house,"The Shinn family planted a nursery here in the 1850s; the house and its grounds are now a public park.",City of Fremont — Shinn Historic Park
five-high-schools,"The five towns each kept their own high school, which is why a city this size has schools named for places most residents cannot point to.",City of Fremont — History
warm-springs-name,Warm Springs is named for actual warm springs. They fed a resort and later a brewery.,Museum of Local History
central-park-lake,"Lake Elizabeth was dug, not found. It was built as the centerpiece of Central Park in the 1960s.",City of Fremont — Central Park
bart-1972,BART reached Fremont in 1972 and stopped there for forty-two years — it was the end of the line until Warm Springs opened in 2017.,Wikipedia — Fremont station
mission-olives,"The olive trees around Mission San José are descendants of the mission orchard, which is roughly two centuries of the same planting.",Museum of Local History
niles-name,"Niles is named after a judge, Addison Niles, who sat on the California Supreme Court.",Wikipedia — Niles Fremont California
canyon-narrows,"Niles Canyon is narrow enough that the road, the creek and the railway have to take turns.",Wikipedia — Niles Canyon
alameda-creek,"Alameda Creek drains a watershed of nearly 700 square miles, most of it well east of here, and empties into the Bay at Fremont.",Wikipedia — Alameda Creek
irvington-name,"Irvington was called Washington Corners until the 1880s, when a second Washington in the state forced the change.",Museum of Local History
centerville-depot,"Centerville's depot still stands. The town grew around the railway rather than the other way round.",Museum of Local History
mission-peak-hike,"The walk up Mission Peak climbs about 2,000 feet in three miles, which is why it is busier at dawn than at noon.",East Bay Regional Park District
salt-ponds,"The colored ponds along Fremont's bay edge are salt evaporation ponds. The colors come from what can survive the brine.",Don Edwards San Francisco Bay National Wildlife Refuge
refuge-first,"The refuge on Fremont's bay shore was the first urban National Wildlife Refuge in the United States, established in 1972.",Don Edwards San Francisco Bay National Wildlife Refuge
patterson-house,"The Victorian at Ardenwood was the Patterson family's, and they farmed the land around it for three generations.",City of Fremont — Ardenwood Historic Farm
mission-cemetery,"The cemetery at Mission San José holds thousands of Ohlone graves, most of them unmarked.",Wikipedia — Mission San José California
niles-station,"Niles was a railway junction before it was a film town — which is exactly why the film people could get there.",Museum of Local History
tesla-scale,"The Fremont plant is one of the largest buildings in the world by floor area, and has been since it was General Motors'.",Wikipedia — Tesla Factory
city-hall-1960s,Fremont built its civic center on empty land between the five old towns so that none of them could claim it.,City of Fremont — History
mission-adobe,"Adobe is mud, straw and time. The mission was built from the ground it stands on.",Wikipedia — Mission San José California
